Wavelength,purple,purple,blue,blue,green,green,yellow,yellow,red,red
380,0.193,22,0.025,3,0.064,32,0.038,43,0.082,15
400,0.294,34,0.045,5,0.124,63,0.086,98,0.146,27
420,0.298,34,0.000,0,0.111,56,0.088,100,0.172,32
440,0.456,52,0.000,0,0.079,40,0.068,77,0.275,51
460,0.694,79,0.001,0,0.037,19,0.040,45,0.427,78
480,0.875,100,0.008,1,0.004,2,0.013,15,0.544,100
500,0.827,95,0.026,3,0.003,2,0.005,6,0.517,95
520,0.653,75,0.061,7,0.012,6,0.000,0,0.389,72
540,0.346,40,0.133,16,0.029,15,0.000,0,0.151,28
560,0.244,28,0.263,32,0.061,31,0.000,0,0.027,5
580,0.312,36,0.417,51,0.098,50,0.000,0,0.003,1
600,0.590,67,0.824,100,0.197,100,0.000,0,0.000,0
620,0.529,60,0.738,90,0.178,90,0.000,0,0.000,0
640,0.144,16,0.190,23,0.044,22,0.000,0,0.003,1
660,0.031,4,0.029,4,0.006,3,0.001,1,0.000,0
680,0.440,50,0.005,1,0.000,0,0.001,1,-0.001,0
700,0.110,13,0.000,0,0.000,0,0.001,1,-0.002,0
720,0.010,1,0.000,0,0.000,0,0.001,1,-0.001,0
740,0.009,1,0.000,0,0.002,1,0.000,0,-0.001,0
